FID IID Cluster
IrishSuffolk ISF1 Grp1
IrishSuffolk ISF2 Grp1
IrishSuffolk ISF3 Grp1
IrishSuffolk ISF4 Grp1
IrishSuffolk ISF6 Grp1
IrishSuffolk ISF9 Grp1
IrishSuffolk ISF15 Grp1
IrishSuffolk ISF16 Grp1
IrishSuffolk ISF17 Grp1
IrishSuffolk ISF18 Grp1
IrishSuffolk ISF19 Grp1
IrishSuffolk ISF20 Grp1
IrishSuffolk ISF21 Grp1
IrishSuffolk ISF22 Grp1
IrishSuffolk ISF23 Grp1
IrishSuffolk ISF24 Grp1
IrishSuffolk ISF26 Grp1
IrishSuffolk ISF28 Grp1
IrishSuffolk ISF30 Grp1
IrishSuffolk ISF31 Grp1
IrishSuffolk ISF32 Grp1
IrishSuffolk ISF33 Grp1
IrishSuffolk ISF34 Grp1
IrishSuffolk ISF35 Grp1
IrishSuffolk ISF36 Grp1
IrishSuffolk ISF42 Grp1
IrishSuffolk ISF47 Grp1
IrishSuffolk ISF48 Grp1
ScottishBlackface SBL-3829 Grp2
ScottishBlackface SBL-4043 Grp2
ScottishBlackface SBL-5007 Grp2
ScottishBlackface SBL-5035 Grp2
ScottishBlackface SBL-5192 Grp2
ScottishBlackface SBL-5341 Grp2
ScottishBlackface SBL-6001 Grp2
ScottishBlackface SBL-6836 Grp2
ScottishBlackface SBL-9090 Grp2
ScottishBlackface SBL-61037 Grp2
ScottishBlackface SBL-61851 Grp2
ScottishBlackface SBL-304140 Grp2
ScottishBlackface SBL-UK5602620051 Grp2
ScottishBlackface SBL-UK5617084137 Grp2
ScottishBlackface SBL-UK14327060010 Grp2
ScottishBlackface SBL-UK102613061802 Grp2
ScottishBlackface SBL-UK501156002062 Grp2
ScottishBlackface SBL-UK582190004716 Grp2
ScottishBlackface SBN-61 Grp2
ScottishBlackface SBN-200 Grp2
ScottishBlackface SBN-413 Grp2
ScottishBlackface SBN-2141 Grp2
ScottishBlackface SBN-2252 Grp2
ScottishBlackface SBN-2272 Grp2
ScottishBlackface SBN-2996 Grp2
ScottishBlackface SBN-3661 Grp2
ScottishBlackface SBN-5578 Grp2
ScottishBlackface SBN-GREEN47 Grp2
ScottishBlackface SBN-UK1070982042 Grp2
ScottishBlackface SBN-UK1070982053 Grp2
ScottishBlackface SBN-UK1071064339 Grp2
ScottishBlackface SBN-UK1071064535 Grp2
ScottishBlackface SBN-UK1072312850 Grp2
ScottishBlackface SBP-1393 Grp2
ScottishBlackface SBP-2681 Grp2
ScottishBlackface SBP-2690 Grp2
ScottishBlackface SBP-3125 Grp2
ScottishBlackface SBP-5037 Grp2
ScottishBlackface SBP-5128 Grp2
ScottishBlackface SBP-5146 Grp2
ScottishBlackface SBP-50472 Grp2
ScottishBlackface SBP-DOLDY2 Grp2
ScottishBlackface SBP-UK3613253188 Grp2
